creating an lstm...	
missing seed text, using uniform probability over first character	
--------------------------	
b0,On,1,55,0
3,8e72,On,1,64,0
3,8e72,On,1,64,0
3,8e72,On,1,64,0
3,8e72,On,1,64,0
3,8e8f,On,1,64,100
3,8e8f,On,1,85,100
3,8e8f,On,1,85,100
3,8e97,On,1,85,0
3,8e97,On,1,64,0
3,8e97,On,1,69,0
3,8ead,On,1,64,100
3,8ead,On,1,85,100
3,8eb,On,1,85,0
3,8eb,On,1,63,0
3,8eb,On,1,63,0
3,8eb,On,1,69,0
3,8eb8,On,1,64,100
3,8eb8,On,1,85,100
3,8eca,On,1,85,0
3,8eca,On,1,69,0
3,8eef,On,1,64,100
3,8f05,On,1,64,0
3,8f21,On,1,63,100
3,8f3c,On,1,69,0
3,8f4e,On,1,69,100
3,8f57,On,1,64,0
3,8f60,On,1,69,100
3,8f6e,On,1,69,0
3,8f8c,On,1,69,100
3,8f96,On,1,64,0
3,8fdc,On,1,69,100
3,8fe8,On,1,69,0
3,8feb,On,1,69,100
3,9105,On,1,69,0
3,9137,On,1,69,100
3,9156,On,1,69,0
3,9182,On,1,69,100
3,9182,On,1,64,100
3,9182,On,1,69,100
3,9182,On,1,69,100
3,9182,On,1,69,100
3,918d,On,1,69,0
3,918d,On,1,63,0
3,918d,On,1,69,0
3,9191,On,1,69,100
3,9191,On,1,64,100
3,919f,On,1,69,0
3,919f,On,1,75,0
3,91b9,On,1,64,100
3,91b9,On,1,69,100
3,91c0,On,1,69,0
3,91c0,On,1,69,0
3,91c0,On,1,63,0
3,91c0,On,1,69,0
3,91ed,On,1,69,100
3,91ed,On,1,77,100
3,91f,On,1,69,0
3,91f,On,1,63,0
3,91f9,On,1,69,100
3,91f9,On,1,69,100
3,91f9,On,1,69,100
3,9201,On,1,69,0
3,9201,On,1,75,0
3,9210,On,1,69,100
3,9210,On,1,64,100
3,921e,On,1,62,0
3,921e,On,1,69,0
3,922b,On,1,69,100
3,922b,On,1,64,100
3,922b,On,1,64,100
3,922b,On,1,69,100
3,922b,On,1,69,100
3,923b,On,1,69,0
3,923b,On,1,64,0
3,9254,On,1,69,100
3,9254,On,1,64,100
3,9254,On,1,85,100
3,9261,On,1,85,0
3,9261,On,1,69,0
3,9261,On,1,54,0
3,929,On,1,64,100
3,929,On,1,69,100
3,929,On,1,81,100
3,929,On,1,85,100
3,9290,On,1,85,0
3,9290,On,1,64,0
3,929e,On,1,64,100
3,92b9,On,1,62,0
3,92cf,On,1,62,100
3,92cf,On,1,69,100
3,92cf,On,1,85,100
3,92da,On,1,85,0
3,92da,On,1,69,0
3,92da,On,1,64,0
3,92da,On,1,64,0
3,92f5,On,1,64,100
3,92f5,On,1,85,100
3,92fa,On,1,85,0
3,92fa,On,1,75,0
3,93d1,On,1,62,100
3,93d1,On,1,85,100
3,93dc,On,1,85,0
3,93dc,On,1,64,0
3,93e7,On,1,64,100
3,93e7,On,1,69,100
3,93f6,On,1,64,0
3,9400,On,1,62,100
3,9400,On,1,69,100
3,940c,On,1,69,0
3,9419,On,1,69,100
3,9419,On,1,64,100
3,9419,On,1,69,100
3,9420,On,1,69,0
3,943c,On,1,69,100
3,9447,On,1,69,0
3,945a,On,1,69,100
3,945a,On,1,64,100
3,945a,On,1,64,100
3,945a,On,1,69,100
3,9464,On,1,64,0
3,9464,On,1,69,0
3,9473,On,1,69,100
3,9473,On,1,63,100
3,9473,On,1,69,100
3,9473,On,1,69,100
3,9473,On,1,85,100
3,949,On,1,85,0
3,949,On,1,69,0
3,9492,On,1,63,0
3,9492,On,1,69,0
3,94a9,On,1,85,100
3,94a9,On,1,85,100
3,94b2,On,1,85,0
3,94b2,On,1,64,0
3,94ce,On,1,64,100
3,94ce,On,1,64,100
3,94ce,On,1,85,100
3,94d4,On,1,85,0
3,94d4,On,1,64,0
3,94d4,On,1,64,0
3,94e9,On,1,64,100
3,94e9,On,1,69,100
3,94e9,On,1,85,100
3,9501,On,1,85,0
3,9501,On,1,69,0
3,9501,On,1,75,0
3,9514,On,1,64,100
3,9514,On,1,85,100
3,951f,On,1,85,0
3,951f,On,1,64,0
3,9526,On,1,64,100
3,9526,On,1,69,100
3,9526,On,1,85,100
3,9550,On,1,85,0
3,9550,On,1,65,0
3,955f,On,1,64,100
3,9566,On,1,64,0
3,958e,On,1,62,100
3,959e,On,1,62,0
3,95a7,On,1,69,100
3,95a7,On,1,64,100
3,95a7,On,1,85,100
3,95cb,On,1,85,0
3,95cb,On,1,75,0
3,95e4,On,1,69,100
3,95e4,On,1,64,100
3,95e4,On,1,85,100
3,95f8,On,1,85,0
3,95f8,On,1,64,0
3,95f8,On,1,69,0
3,95f8,On,1,64,0
3,960,On,1,64,100
3,960,On,1,69,100
3,9603,On,1,69,100
3,960a,On,1,69,0
3,9616,On,1,54,100
3,9616,On,1,69,100
3,9616,On,1,69,100
3,9620,On,1,69,0
3,9620,On,1,64,0
3,962f,On,1,64,100
3,962f,On,1,85,100
3,962f,On,1,85,100
3,9632,On,1,85,0
3,9632,On,1,69,0
3,9632,On,1,64,0
3,9637,On,1,64,100
3,9637,On,1,64,100
3,9643,On,1,64,0
3,9643,On,1,69,0
3,9654,On,1,64,100
3,9654,On,1,69,100
3,9654,On,1,85,100
3,9660,On,1,85,0
3,9660,On,1,64,0
3,967b,On,1,64,100
3,967b,On,1,85,100
3,967b,On,1,85,100
3,9685,On,1,85,0
3,9685,On,1,69,0
3,969,On,1,64,100
3,969,On,1,85,100
3,969,On,1,85,100
3,9695,On,1,85,0
3,9695,On,1,69,0
3,9695,On,1,64,0
3,9695,On,1,64,0
3,9695,On,1,69,0
3,96a9,On,1,64,100
3,96a9,On,1,64,100
3,96b9,On,1,64,0
3,96c4,On,1,62,100
3,96c4,On,1,69,100
3,96c4,On,1,85,100
3,96d1,On,1,85,0
3,96d1,On,1,69,0
3,96d1,On,1,64,0
3,96ed,On,1,64,100
3,96f,On,1,69,0
3,96f6,On,1,54,0
3,9723,On,1,69,100
3,9723,On,1,64,100
3,9723,On,1,85,100
3,9737,On,1,85,0
3,9737,On,1,64,0
3,9739,On,1,85,100
3,9739,On,1,85,100
3,9742,On,1,85,0
3,9742,On,1,69,0
3,9757,On,1,64,100
3,9757,On,1,85,100
3,9773,On,1,85,0
3,9773,On,1,64,0
3,9773,On,1,54,0
3,977c,On,1,64,100
3,977c,On,1,85,100
3,978c,On,1,85,0
3,978c,On,1,64,0
3,9790,On,1,64,100
3,9790,On,1,85,100
3,9793,On,1,85,0
3,9793,On,1,69,0
3,9793,On,1,54,0
3,97c5,On,1,64,100
3,97c5,On,1,69,100
3,97c5,On,1,85,100
3,97c5,On,1,85,100
3,97cf,On,1,85,0
3,97cf,On,1,64,0
3,97cf,On,1,69,0
3,97d7,On,1,64,100
3,97e0,On,1,64,0
3,97fb,On,1,62,100
3,97fb,On,1,69,100
3,8916,On,1,75,0
3,9816,On,1,69,0
3,9816,On,1,64,0
3,9816,On,1,69,0
3,9816,On,1,69,0
3,9826,On,1,64,100
3,9826,On,1,64,100
3,9826,On,1,85,100
3,982d,On,1,85,0
3,982d,On,1,64,0
3,982d,On,1,64,0
3,984,On,1,69,100
3,984,On,1,64,100
3,984,On,1,69,100
3,984,On,1,63,100
3,984,On,1,69,100
3,984,On,1,69,100
3,984,On,1,69,100
3,984,On,1,75,100
3,984,On,1,69,100
3,9840,On,1,85,100
3,984b,On,1,85,0
3,984b,On,1,69,0
3,9857,On,1,85,100
3,986d,On,1,85,0
3,988d,On,1,75,100
3,988d,On,1,64,0
3,98a4,On,1,64,100
3,98a4,On,1,69,100
3,98a4,On,1,85,100
3,98b4,On,1,85,0
3,98b4,On,1,64,0
3,98b4,On,1,64,0
3,98da,On,1,64,100
3,98e6,On,1,64,0
3,98e6,On,1,64,0
3,98f1,On,1,64,100
3,98f1,On,1,69,100
3,9918,On,1,64,0
3,9918,On,1,64,0
3,9918,On,1,62,0
3,992,On,1,64,0
3,992,On,1,69,0
3,992,On,1,64,0
3,9a4,On,1,69,100
3,9a4,On,1,69,100
3,9a4,On,1,69,100
3,9a4,On,1,69,100
3,9a40,On,1,64,100
3,9a40,On,1,69,100
3,9a40,On,1,85,100
3,9a44,On,1,85,0
3,9a44,On,1,69,0
3,9a44,On,1,69,0
3,9a5c,On,1,64,100
3,9a5c,On,1,69,100
3,9a5c,On,1,85,100
3,9a5c,On,1,85,100
3,9a80,On,1,85,0
3,9a80,On,1,64,0
3,9a80,On,1,69,0
3,9abd,On,1,64,100
3,9abd,On,1,85,100
3,9abf,On,1,85,0
3,9abf,On,1,64,0
3,9abf,On,1,64,0
3,9acd,On,1,64,100
3,9acd,On,1,85,100
3,9ad7,On,1,85,0
3,9ad7,On,1,69,0
3,9ad7,On,1,64,0
3,9ad7,On,1,63,0
3,9ae1,On,1,64,100
3,9ae1,On,1,85,100
3,9aec,On,1,85,0
3,9aec,On,1,69,0
3,9b18,On,1,64,100
3,9b18,On,1,85,100
3,9b18,On,1,85,100
3,9b25,On,1,85,0
3,9b25,On,1,66,0
3,9b25,On,1,69,0
3,9b3c,On,1,64,100
3,9b3c,On,1,86,100
3,9b4b,On,1,85,0
3,9b4b,On,1,64,0
3,9b5f,On,1,69,100
3,9b5f,On,1,69,100
3,9b5f,On,1,85,100
3,9b65,On,1,85,0
3,9b65,On,1,64,0
3,9b6a,On,1,64,100
3,9b6a,On,1,85,100
3,9b6e,On,1,85,0
3,9b6e,On,1,69,0
3,9b6e,On,1,64,0
3,9b86,On,1,64,100
3,9b86,On,1,85,100
3,9b8d,On,1,85,0
3,9b8d,On,1,69,0
3,9b9e,On,1,85,100
3,9ba4,On,1,85,0
3,9ba4,On,1,64,0
3,9ba4,On,1,64,0
3,9ba4,On,1,64,0
3,9bb1,On,1,64,100
3,9bb1,On,1,85,100
3,9bbf,On,1,64,0
3,9bbf,On,1,69,0
3,9bbf,On,1,69,0
3,9bbf,On,1,64,0
3,9bc6,On,1,64,100
3,9bc6,On,1,85,100
3,9bcf,On,1,85,0
3,9bcf,On,1,67,0
3,9bcf,On,1,64,0
3,9bcf,On,1,69,0
3,9cd,On,1,69,100
3,9cd,On,1,64,100
3,9cd,On,1,69,100
3,9cd,On,1,85,100
3,9cd0,On,1,85,0
3,9cdc,On,1,75,100
3,9cdc,On,1,64,0
3,9cf0,On,1,62,100
3,9cf0,On,1,85,100
3,9e07,On,1,85,0
3,9d07,On,1,64,0
3,9d07,On,1,69,0
3,9d07,On,1,64,0
3,9d07,On,1,64,0
3,9d07,On,1,64,0
3,9d07,On,1,69,0
3,9d28,On,1,64,100
3,9d28,On,1,64,100
3,9d28,On,1,85,100
3,9d2e,On,1,85,0
3,9d2e,On,1,66,0
3,9d2e,On,1,69,0
3,9d49,On,1,85,100
3,9d49,On,1,85,100
3,9d53,On,1,85,0
3,9d53,On,1,64,0
3,9d53,On,1,69,0
3,9d53,On,1,69,0
3,9d63,On,1,64,100
3,9d63,On,1,85,100
3,9d7c,On,1,85,0
3,9d7c,On,1,64,0
3,9d8,On,1,64,100
3,9d8,On,1,85,100
3,9d86,On,1,85,0
3,9d86,On,1,75,0
3,9d9a,On,1,64,100
3,9d9a,On,1,64,100
3,9d9a,On,1,69,100
3,9d9a,On,1,85,100
3,9da7,On,1,85,0
3,9da7,On,1,64,0
3,9da7,On,1,64,0
3,9dbf,On,1,64,100
3,9dbf,On,1,85,100
3,9dbf,On,1,85,100
3,9dd9,On,1,85,0
3,9dd9,On,1,69,0
3,9dfa,On,1,64,100
3,9e1b,On,1,64,0
3,9e1d,On,1,62,100
3,9e22,On,1,62,0
3,9e22,On,1,63,0
3,9e22,On,1,69,0
3,9e34,On,1,64,100
3,9e34,On,1,85,100
3,9e43,On,1,85,0
3,9e43,On,1,75,0
3,9e43,On,1,69,0
3,9e59,On,1,85,100
3,9e6f,On,1,85,0
3,9e6f,On,1,64,0
3,9e6f,On,1,64,0
3,9e7c,On,1,64,100
3,9e7c,On,1,85,100
3,9e7f,On,1,85,0
3,9e7f,On,1,75,0
3,9e94,On,1,64,100
3,9e94,On,1,85,100
3,9e9f,On,1,85,0
3,9e9f,On,1,64,0
3,9e9f,On,1,54,0
3,9ec1,On,1,64,100
3,9ec1,On,1,69,100
3,9ecb,On,1,64,0
3,9ef5,On,1,64,100
3,9ef5,On,1,69,100
3,9f00,On,1,69,0
3,9f08,On,1,64,100
3,9f11,On,1,69,0
3,9f11,On,1,77,0
3,9f1,On,1,69,0
3,9f12,On,1,64,0
3,9f14,On,1,64,100
3,9f14,On,1,69,100
3,9f14,On,1,85,100
3,9f1f,On,1,85,0
3,9f1f,On,1,75,0
3,9f22,On,1,64,100
3,9f22,On,1,69,100
3,9f2d,On,1,85,0
3,9f2d,On,1,64,0
3,9f2d,On,1,63,0
3,9f35,On,1,64,100
3,9f35,On,1,67,100
3,9f35,On,1,85,100
3,9f4,On,1,85,0
3,9f4,On,1,69,0
3,9f4,On,1,69,0
3,9f4,On,1,75,0
3,9f46,On,1,64,100
3,9f46,On,1,75,100
3,9f46,On,1,69,100
3,9f56,On,1,69,0
3,9f56,On,1,64,0
3,9f6f,On,1,64,100
3,9f81,On,1,64,0
3,9f99,On,1,66,100
3,9f99,On,1,69,100
3,9fa7,On,1,69,0
3,9fb2,On,1,69,100
3,9fbf,On,1,69,0
3,9fe2,On,1,69,100
3,9fe2,On,1,64,100
3,9fe2,On,1,69,100
3,9fe2,On,1,69,100
3,9fe2,On,1,69,100
3,9fed,On,1,69,0
3,9fed,On,1,63,0
3,9fed,On,1,69,0
3,9fed,On,1,69,0
3,9ff8,On,1,69,100
3,9ff8,On,1,69,100
3,9fe3,On,1,69,0
3,9fe3,On,1,54,0
3,9fe3,On,1,69,0
3,9fe3,On,1,60,0
3,9fe3,On,1,63,0
3,9fe3,On,1,62,0
3,9fe3,On,1,69,0
3,9fe3,On,1,64,0
3,9fe3,On,1,69,0
3,9fe3,On,1,69,0
3,9fe3,On,1,69,0
3,9ff5,On,1,69,100
3,9ff5,On,1,76,100
3,a057,On,1,69,0
3,a057,On,1,63,0
3,a057,On,1,69,0
3,a057,On,1,64,0
3,a06,On,1,64,100
3,a06,On,1,85,100
3,a06,On,1,85,100
3,a0e,On,1,85,0
3,a0e,On,1,69,0
3,a1d,On,1,64,100
3,a1d,On,1,69,100
3,a1d,On,1,85,100
3,a26,On,1,85,0
3,a26,On,1,69,0
3,a36,On,1,64,100
3,a44,On,1,69,0
3,a5e,On,1,69,100
3,a69,On,1,69,0
3,a6b,On,1,69,100
3,a7,On,1,69,0
3,a7,On,1,69,0
3,a7b,On,1,62,100
3,a85,On,1,69,0
3,a8f,On,1,69,100
3,aa3,On,1,69,0
3,ab3,On,1,69,100
3,abc,On,1,69,0
3,ac0,On,1,69,100
3,ac0,On,1,66,100
3,ac0,On,1,69,100
3,acd,On,1,69,0
3,acd,On,1,62,0
3,acd,On,1,69,0
3,acd,On,1,66,0
3,acd,On,1,65,0
3,acd,On,1,63,0
3,acd,On,1,54,0
3,ada,On,1,69,100
3,ae6,On,1,69,0
3,af7,On,1,69,100
3,b1,On,1,69,0
3,b1,On,1,69,0
3,b1,On,1,60,0
3,b1,On,1,69,0
3,b1,On,1,77,100
3,b10,On,1,69,100
3,b10,On,1,63,100
3,b1c,On,1,63,0
3,b1c,On,1,63,0
3,b1c,On,1,54,0
3,b3d,On,1,69,100
3,b4e,On,1,69,0
3,b55,On,1,69,100
3,b55,On,1,69,100
3,b55,On,1,69,100
3,b6b,On,1,69,0
3,b6b,On,1,69,0
3,b6b,On,1,63,0
3,b6b,On,1,69,0
3,b6b,On,1,44,0
3,b6b,On,1,60,100
3,b6b,On,1,66,100
3,b6b,On,1,63,100
3,b78,On,1,69,0
3,b78,On,1,63,0
3,b78,On,1,69,0
3,b78,On,1,60,100
3,b80,On,1,69,0
3,b89,On,1,69,100
3,b89,On,1,77,100
3,b96,On,1,69,0
3,b96,On,1,60,0
3,b96,On,1,60,100
3,ba7,On,1,69,0
3,ba7,On,1,60,0
3,bb5,On,1,60,100
3,bda,On,1,69,0
3,bda,On,1,60,0
3,be5,On,1,60,100
3,c00,On,1,64,0
3,c09,On,1,64,100
3,c09,On,1,69,100
3,c13,On,1,69,0
3,c13,On,1,61,0
3,c13,On,1,69,100
3,c13,On,1,69,100
3,c1f,On,1,69,0
3,c1f,On,1,69,0
3,c1f,On,1,69,100
3,c20,On,1,69,0
3,c31,On,1,69,100
3,c45,On,1,69,0
3,c4a,On,1,69,100
3,c4a,On,1,69,0
3,c68,On,1,64,100
3,c68,On,1,60,100
3,c6f,On,1,69,0
3,c6f,On,1,69,100
3,c70,On,1,69,0
3,c71,On,1,69,100
3,c72,On,1,69,0
3,c76,On,1,69,100
3,c8f,On,1,69,0
3,c8f,On,1,60,0
3,c8f,On,1,60,100
3,c8f,On,1,60,100
3,c8f,On,1,69,100
3,c90,On,1,69,0
3,c9e,On,1,64,100
3,ca2,On,1,69,0
3,ca2,On,1,60,0
3,ca1,On,1,61,100
3,ca1,On,1,69,100
3,cb7,On,1,69,0
3,cb7,On,1,62,0
3,cb7,On,1,60,0
3,cb7,On,1,60,100
3,cce,On,1,69,0
3,cce,On,1,60,0
3,cce,On,1,60,100
3,cce,On,1,69,100
3,cd9,On,1,69,0
3,cd9,On,1,60,100
3,ce1,On,1,69,0
3,ce1,On,1,38,0
3,ce1,On,1,60,0
3,ce5,On,1,62,100
3,cf6,On,1,69,0
3,cf5,On,1,60,100
3,d03,On,1,64,0
3,d05,On,1,61,100
3,d15,On,1,69,0
3,d15,On,1,36,0
3,d15,On,1,82,0
3,d17,On,1,68,100
3,d27,On,1,69,0
3,d2b,On,1,68,100
3,d41,On,1,60,0
3,d5c,On,1,69,100
3,d73,On,1,63,0
3,d8,On,1,42,100
3,d88,On,1,60,0
3,d8b,On,1,60,100
3,d93,On,1,65,100
3,d9b,On,1,69,100
3,da6,On,1,69,0
3,da6,On,1,60,0
3,da9,On,1,62,100
3,da9,On,1,69,100
3,db6,On,1,69,0
3,dca,On,1,69,100
3,dca,On,1,60,100
3,ddd,On,1,69,0
3,ddd,On,1,60,100
3,dec,On,1,69,0
3,dec,On,1,61,0
3,dfe,On,1,69,100
3,dfe,On,1,69,100
3,e1e,On,1,69,0
3,e1e,On,1,60,0
3,e25,On,1,69,100
3,e25,On,1,69,100
3,e25,On,1,69,100
3,e2a,On,1,69,0
3,e36,On,1,69,100
3,e40,On,1,69,0
3,e40,On,1,69,100
3,e58,On,1,69,0
3,e58,On,1,60,0
3,e58,On,1,62,100
3,e58,On,1,60,100
3,e7c,On,1,69,0
3,e7c,On,1,60,100
3,e7c,On,1,69,0
3,e9e,On,1,69,100
3,ea8,On,1,69,0
3,ea9,On,1,69,100
3,ebf,On,1,69,0
3,ec4,On,1,63,100
3,eda,On,1,69,0
3,eda,On,1,60,0
3,eda,On,1,44,0
3,edc,On,1,69,100
3,edc,On,1,76,100
3,ef4,On,1,60,0
3,ef4,On,1,60,0
3,ef6,On,1,60,100
3,f07,On,1,62,0
3,f07,On,1,60,0
3,f07,On,1,60,100
3,f11,On,1,69,0
3,f18,On,1,61,100
3,f18,On,1,56,100
3,f18,On,1,60,100
3,f21,On,1,69,0
3,f21,On,1,60,0
3,f21,On,1,60,100
3,f21,On,1,69,100
3,f21,On,1,69,100
3,f22,On,1,69,0
3,f22,On,1,60,0
3,f22,On,1,60,0
3,f22,On,1,44,0
3,f27,On,1,44,100
3,f27,On,1,44,100
3,f2d,On,1,60,0
3,f2b,On,1,60,100
3,f32,On,1,60,0
3,f41,On,1,60,100
3,f50,On,1,61,0
3,f61,On,1,69,100
3,f61,On,1,60,100
3,f63,On,1,69,0
3,f69,On,1,60,100
3,f69,On,1,66,100
3,f7b,On,1,64,0
3,f7b,On,1,60,0
3,f87,On,1,61,100
3,f91,On,1,60,0
3,f9c,On,1,60,100
3,fa0,On,1,60,0
3,fa0,On,1,44,0
3,fa0,On,1,60,0
3,fa0,On,1,63,0
3,fa2,On,1,60,100
3,fa2,On,1,56,100
3,faf,On,1,60,0
3,fbf,On,1,61,100
3,fc7,On,1,60,0
3,fcc,On,1,61,100
3,fd4,On,1,60,0
3,fd5,On,1,61,100
3,fd5,On,1,60,100
3,fd5,On,1,60,100
3,fd5,On,1,66,100
3,fd5,On,1,60,100
3,fde,On,1,61,0
3,fe5,On,1,60,100
3,ffa,On,1,61,0
3,ffa,On,1,58,0
3,ffa,On,1,60,100
NEWSONG
3,0,Prog,1,80
3,0,On,1,35,110
3,0,On,1,41,0
3,0,On,1,41,100
3,0,On,1,49,100
3,0,On,1,81,100
3,0,On,1,53,100
3,100,On,1,80,0
3,100,On,1,75,0
3,101,On,1,55,100
3,102,On,1,79,0
3,104,On,1,37,100
3,137,On,1,45,0
3,137,On,1,67,0
3,141,On,1,72,100
3,161,On,1,64,0
3,164,On,1,72,100
3,164,On,1,60,100
3,178,On,1,77,0
3,178,On,1,48,0
3,178,On,1,42,0
3,179,On,1,79,100
3,179,On,1,44,100
3,18c,On,1,76,0
3,18d,On,1,71,90
3,1a6,On,1,60,0
3,1a5,On,1,65,100
3,1a5,On,1,26,100
3,1a5,On,1,60,100
3,1b0,On,1,70,0
3,1b0,On,1,42,0
3,1b1,On,1,76,100
3,1b1,On,1,44,100
3,1c7,On,1,72,0
3,1c7,On,1,44,0
3,1c8,On,1,72,100
3,1c8,On,1,60,100
3,1d5,On,1,67,0
3,1d3,On,1,44,0
3,1d4,On,1,70,100
3,1d4,On,1,44,100
3,1ec,On,1,70,0
3,1ed,On,1,44,0
3,1ee,On,1,76,100
3,1ee,On,1,44,100
3,1f8,On,1,74,0
3,1f8,On,1,44,0
3,1fb,On,1,76,100
3,1fb,On,1,69,100
3,204,On,1,47,0
3,207,On,1,65,100
3,212,On,1,70,0
3,214,On,1,68,100
3,24a,On,1,75,0
3,24b,On,1,72,100
3,269,On,1,73,0
3,26a,On,1,71,100
3,2c4,On,1,77,0
3,2c4,On,1,44,0
3,2c5,On,1,70,100
3,2c5,On,1,44,100
3,2db,On,1,67,0
3,2dc,On,1,77,100
3,2f2,On,1,71,0
3,2f2,On,1,44,0
3,2f5,On,1,77,100
3,2f5,On,1,44,100
3,4ff,On,1,76,0
3,4ff,On,1,69,0
3,4ff,On,1,60,100
3,51c,On,1,77,0
3,51c,On,1,60,0
3,51c,On,1,69,0
3,51f,On,1,72,100
3,51f,On,1,44,100
3,52a,On,1,71,0
3,52d,On,1,77,100
3,542,On,1,70,0
3,543,On,1,70,100
3,55b,On,1,68,0
3,55b,On,1,44,0
3,55d,On,1,76,100
3,55d,On,1,44,100
3,56c,On,1,75,0
3,56d,On,1,45,0
3,56e,On,1,67,100
3,56e,On,1,60,100
3,59c,On,1,72,0
3,59d,On,1,78,100
3,5b6,On,1,65,0
3,5b6,On,1,60,0
3,5b9,On,1,68,100
3,5b9,On,1,60,100
3,5c0,On,1,67,0
3,5c1,On,1,67,100
3,5da,On,1,69,0
3,5da,On,1,44,0
3,5df,On,1,72,100
3,5df,On,1,44,100
3,5df,On,1,75,100
3,604,On,1,65,0
3,605,On,1,79,90
3,613,On,1,76,0
3,615,On,1,75,100
3,63e,On,1,71,0
3,640,On,1,77,100
3,652,On,1,70,0
3,652,On,1,44,0
3,653,On,1,67,100
3,653,On,1,60,100
3,66e,On,1,65,0
3,66f,On,1,63,100
3,693,On,1,70,0
3,695,On,1,65,100
3,69f,On,1,66,0
3,6a0,On,1,65,100
3,6b1,On,1,65,0
3,6b4,On,1,68,100
3,6ca,On,1,70,0
3,6ca,On,1,44,0
3,6cb,On,1,77,100
3,6cb,On,1,60,100
3,6e2,On,1,60,0
3,6e3,On,1,67,0
3,6e4,On,1,72,100
3,6e4,On,1,44,100
3,6f4,On,1,75,0
3,6f5,On,1,76,90
3,706,On,1,67,0
3,712,On,1,74,100
3,712,On,1,40,100
3,72f,On,1,69,0
3,72,On,1,44,0
3,728,On,1,65,100
3,730,On,1,68,0
3,750,On,1,44,0
3,751,On,1,67,0
3,753,On,1,78,100
3,753,On,1,60,100
3,762,On,1,77,0
3,763,On,1,74,100
3,784,On,1,74,0
3,784,On,1,44,0
3,785,On,1,72,100
3,785,On,1,60,100
3,79c,On,1,65,0
3,79d,On,1,75,100
3,79d,On,1,60,100
3,7a9,On,1,67,0
3,7aa,On,1,72,90
3,7b1,On,1,60,0
3,7b3,On,1,6c,100
3,7c1,On,1,68,0
3,7c5,On,1,65,100
